Date     MaxT   MinT   MeanT   Precip
1        85     69     77      0.06
2        91     65     78      0
3        95     68     82      0
4        93     70     82      0
5        93     71     82      0
6        95     73     84      0
7        85     72     79      0
8        91     71     81      0
9        88     70     79      0
10       88     71     80      0
11       86     70     78      0.14
12       89     66     78      0
13       87     67     77      0.14
14       89     67     78      0
15       92     65     79      0
16       85     73     79      0
17       94     73     84      0.04
18       96     71     84      0
19       98     72     85      0
20       99     79     89      0
21       96     74     85      0
22       93     72     83      0.01
23       91     72     82      0.26
24       85     73     79      0.17
25       92     70     81      0
26       95     75     85      0
27       96     72     84      0
28       90     76     83      0
29       95     69     82      0
30       96     71     84      0
